TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
2013,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,BGR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,BFA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1990,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1991,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1992,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1993,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1994,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,CPV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,KHM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,TCD,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,COK,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1990,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1991,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1992,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1993,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1994,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,CIV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,HRV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,CUB,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1990,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1991,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1992,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1993,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1994,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,DOM,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1990,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1991,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1992,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1993,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1994,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,ECU,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,EGY,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1990,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1991,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1992,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1993,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1994,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1995,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1996,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1997,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1998,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
1999,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,SLV,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,MDA,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2018,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2019,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2020,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2021,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2022,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2023,MNG,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2000,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2001,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2002,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2003,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2004,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2005,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2006,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2007,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2008,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2009,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2010,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2011,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2012,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2013,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2014,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2015,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2016,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
2017,MAR,TAX_REV,S1311,T_2000,_T,PT_B1GQ,A,0.0
